link;Артикул;Тип;Цоколь;Мощность;Цветовая температура;Серия;Количество в упаковке;Гарантия;Тип лампы;Световой поток Лм;Индекс цветопередачи;Рабочее напряжение;Размеры;Время работы, ч;Аналог лампы накаливания;Аналог галогеновой лампы;Аналог КЛЛ;Угол светового пучка;Форма;
http://gauss.ru/product/lampa-gauss-led-mr11/;132517103;софитные;GU4;3 Вт;2700K;Gauss;10;3 года;;290;90;150-265V;35х45;35 000;60 Вт;35 Вт;11 Вт;;;
http://gauss.ru/product/lampa-gauss-led-mr11-2/;132517203;софитные;GU4;3 Вт;4100K;Gauss;10;3 года;;300;90;150-265V;35х45;35 000;60 Вт;35 Вт;11 Вт;;;
http://gauss.ru/product/lampa-gauss-led-mr16-3/;101506105;софитные;GU10;5 Вт;2700K;Gauss;10;3 года;;500;90;150-265V;50х54;35 000;60 Вт;50 Вт;11 Вт;120°;;
http://gauss.ru/product/lampa-gauss-led-mr16-4/;101506205;софитные;GU10;5 Вт;4100K;Gauss;10;3 года;;530;90;150-265V;50х54;35 000;60 Вт;50 Вт;11 Вт;120°;;
http://gauss.ru/product/lampa-gauss-led-mr16-11/;101506107;софитные;GU10;7 Вт;2700K;Gauss;10;3 года;;600;90;150-265V;50х45;35 000;60 Вт;75 Вт;11 Вт;120;;
http://gauss.ru/product/lampa-gauss-led-mr16-12/;101506207;софитные;GU10;7 Вт;4100K;Gauss;10;3 года;;630;90;150-265V;50х45;35 000;60 Вт;75 Вт;11 Вт;120;;
http://gauss.ru/product/lampa-gauss-led-mr16-5/;201505105;софитные;GU5.3;5 Вт;2700K;Gauss;;3 года;;500;90;12V;50х45;35 000;60 Вт;50 Вт;11 Вт;;;
http://gauss.ru/product/lampa-gauss-led-mr16-6/;201505205;софитные;GU5.3;5 Вт;4100K;Gauss;10;3 года;;530;90;12V;50х45;35 000;60 Вт;50 Вт;11 Вт;120°;;
http://gauss.ru/product/lampa-gauss-led-mr16-7/;101505105;софитные;GU5.3;5 Вт;2700K;Gauss;10;3 года;;500;90;150-265V;50х45;35 000;60 Вт;50 Вт;11 Вт;120°;;
http://gauss.ru/product/lampa-gauss-led-mr16-8/;101505205;софитные;GU5.3;5 Вт;4100K;Gauss;10;3 года;;530;90;150-265V;50х45;35 000;60 Вт;50 Вт;11 Вт;120°;;
http://gauss.ru/product/lampa-gauss-led-mr16-9/;101505107;софитные;GU5.3;7 Вт;2700K;Gauss;10;3 года;;600;90;150-265V;50х45;35 000;60 Вт;75 Вт;11 Вт;120;;
http://gauss.ru/product/lampa-gauss-led-mr16-10/;101505207;софитные;GU5.3;7 Вт;4100K;Gauss;10;3 года;;630;90;150-265V;50х45;35 000;60 Вт;75 Вт;11 Вт;120;;
http://gauss.ru/product/lampa-gauss-led-filament-a60-5/;102802106;;E27;6 Вт;2700K;Gauss;1/10/40;3 года;;600;90;150-265V;60х105 мм;35 000;;;;360°;;
http://gauss.ru/product/lampa-gauss-led-filament-a60-6/;102802206;;E27;6 Вт;4100K;Gauss;1/10/40;3 года;;630;90;150-265V;60х105 мм;35 000;;;;360°;;
http://gauss.ru/product/lampa-gauss-led-filament-candle-dimmable/;103801105-D;;E14;5 Вт;2700K;Gauss;1/10/50;3 года;;420;90;185-265V;35х97 мм;35 000;;;;;;
http://gauss.ru/product/lampa-gauss-led-filament-candle-dimmable-2/;103801205-D;;E14;5 Вт;4100K;Gauss;1/10/50;3 года;;450;90;185-265V;35х97 мм;35 000;;;;;;
http://gauss.ru/product/8019/;104801105-D;свеча на ветру;E14;5 Вт;2700K;Gauss;1/10/50;3 года;;420;90;185-265V;35х120 мм;35 000;;;;;;
http://gauss.ru/product/lampa-gauss-led-filament-candle-tailed-3/;104801005;свеча на ветру;E14;5 Вт;2700K;Gauss;1/10/50;3 года;;;;;;;;;;;;
